Model,TP,TN,FP,FN,Misclass Rate,AUC,Accuracy,Sensitivity,Specificity,Precision,Fall-out,FDR,Miss Rate,F Measure,MCC,Mailings,Profit
12a,0.975925926,1,1,0.975925926,1,1,1,0.975925926,1,1,1,1,0.975925926,1,1,0.401162791,0.992038982
12d,0.975925926,0.98125,0.98125,0.975925926,0.992916175,0.99300324,0.992916175,0.975925926,0.98125,0.988640159,0.98125,0.988640159,0.975925926,0.994419879,0.994042028,0.412790698,0.990391874
11a,0.961111111,1,1,0.961111111,0.9905549,0.99048435,0.9905549,0.961111111,1,0.996672499,1,0.996672499,0.961111111,0.990748977,0.989134705,0.385658915,0.978313088
11d,0.961111111,0.99375,0.99375,0.961111111,0.988193625,0.988152018,0.988193625,0.961111111,0.99375,0.992853239,0.99375,0.992853239,0.961111111,0.98888719,0.987129963,0.389534884,0.977764052
7b,0.981481481,0.9375,0.9375,0.981481481,0.979929162,0.980245995,0.979929162,0.981481481,0.9375,0.963878833,0.9375,0.963878833,0.981481481,0.984962892,0.984381936,0.445736434,0.991695834
7c,0.994444444,0.8875,0.8875,0.994444444,0.969303424,0.96991448,0.969303424,0.994444444,0.8875,0.938017872,0.8875,0.938017872,0.994444444,0.978402295,0.978653156,0.490310078,0.999313705
11c,0.972222222,0.91875,0.91875,0.972222222,0.966942149,0.967302192,0.966942149,0.972222222,0.91875,0.950691478,0.91875,0.950691478,0.972222222,0.973736425,0.971551008,0.447674419,0.981470043
11f,0.972222222,0.91875,0.91875,0.972222222,0.966942149,0.967302192,0.966942149,0.972222222,0.91875,0.950691478,0.91875,0.950691478,0.972222222,0.973736425,0.971551008,0.447674419,0.981470043
12b,0.996296296,0.86875,0.86875,0.996296296,0.963400236,0.964107177,0.963400236,0.996296296,0.86875,0.927829714,0.86875,0.927829714,0.996296296,0.974131227,0.974303145,0.503875969,0.999382335
5c,0.990740741,0.86875,0.86875,0.990740741,0.959858323,0.960538808,0.959858323,0.990740741,0.86875,0.926466035,0.86875,0.926466035,0.990740741,0.9707172,0.970032116,0.498062016,0.994235125
