Model,TP,TN,FP,FN,Misclass Rate,AUC,Accuracy,Sensitivity,Specificity,Precision,Fall-out,FDR,Miss Rate,F Measure,MCC,Mailings,Profit
12a,0.986921529,0.979343864,0.949554896,0.975925926,1,1,1,0.986921529,0.979343864,1,0.949554896,1,0.975925926,1,1,0.794411178,0.995123797
12d,0.986921529,0.972053463,0.931750742,0.975925926,0.992916175,0.996678875,0.996642417,0.986921529,0.972053463,0.995,0.931750742,0.988640159,0.975925926,0.997271487,0.993522039,0.798403194,0.994114927
11a,0.978873239,0.979343864,0.949554896,0.961111111,0.9905549,0.995483243,0.995523223,0.978873239,0.979343864,0.998535411,0.949554896,0.996672499,0.961111111,0.995476525,0.988186424,0.78908849,0.98671655
11d,0.978873239,0.97691373,0.943620178,0.961111111,0.988193625,0.994376164,0.994404029,0.978873239,0.97691373,0.996854375,0.943620178,0.992853239,0.961111111,0.994566167,0.986006716,0.790419162,0.98638026
7b,0.989939638,0.955042527,0.890207715,0.981481481,0.979929162,0.990623443,0.990486849,0.989939638,0.955042527,0.984101377,0.890207715,0.963878833,0.981481481,0.992647302,0.983018853,0.809713906,0.994913616
7c,0.996981891,0.935601458,0.84272997,0.994444444,0.969303424,0.985719423,0.985450476,0.996981891,0.935601458,0.972718753,0.84272997,0.938017872,0.994444444,0.989439366,0.976790087,0.825016633,0.999579638
11c,0.984909457,0.947752126,0.872403561,0.972222222,0.966942149,0.984479458,0.984331281,0.984909457,0.947752126,0.978297003,0.872403561,0.950691478,0.972222222,0.987157894,0.969068092,0.810379242,0.988650216
11f,0.984909457,0.947752126,0.872403561,0.972222222,0.966942149,0.984479458,0.984331281,0.984909457,0.947752126,0.978297003,0.872403561,0.950691478,0.972222222,0.987157894,0.969068092,0.810379242,0.988650216
12b,0.997987928,0.928311057,0.824925816,0.996296296,0.963400236,0.982962893,0.98265249,0.997987928,0.928311057,0.968234466,0.824925816,0.927829714,0.996296296,0.987350941,0.972060424,0.829673985,0.999621674
5c,0.994969819,0.928311057,0.824925816,0.990740741,0.959858323,0.981269109,0.980973699,0.994969819,0.928311057,0.967634247,0.824925816,0.926466035,0.990740741,0.985681584,0.967416637,0.827677977,0.996468956
6c,0.994969819,0.928311057,0.824925816,0.990740741,0.959858323,0.981269109,0.980973699,0.994969819,0.928311057,0.967634247,0.824925816,0.926466035,0.990740741,0.985681584,0.967416637,0.827677977,0.996468956
12c,0.998993964,0.92345079,0.81305638,0.998148148,0.959858323,0.981313442,0.980973699,0.998993964,0.92345079,0.96533986,0.81305638,0.921253261,0.998148148,0.986150905,0.969446413,0.833000665,1
12f,0.998993964,0.92345079,0.81305638,0.998148148,0.959858323,0.981313442,0.980973699,0.998993964,0.92345079,0.96533986,0.81305638,0.921253261,0.998148148,0.986150905,0.969446413,0.833000665,1
13f,0.941649899,0.981773998,0.955489614,0.892592593,0.949232586,0.975700202,0.975937325,0.941649899,0.981773998,0.993225247,0.955489614,0.984607975,0.892592593,0.975025009,0.937060909,0.763140386,0.948169322
12e,1,0.912515188,0.786350148,1,0.950413223,0.976896406,0.976496922,1,0.912515188,0.958655016,0.786350148,0.906065507,1,0.982778046,0.961674672,0.839654025,0.999537601
