Model,MSE,Std Error
6c,1.399422,0.1391948
8c,1.334256,0.1458805
8b,1.341621,0.1463981
9c,1.341848,0.1484047
7c,1.335262,0.1487894
9b,1.345475,0.1492391
7b,1.346153,0.1501249
7a,1.1569567,0.1595578
1b,1.3547,0.1501628
2b,1.363563,0.151085
1c,1.392546,0.1520951
3b,1.412496,0.1537956
2c,1.420405,0.1545045
5b,1.455105,0.1548187
3c,1.462396,0.1566224
6a,1.679664,0.14687
5c,1.51345,0.157661
13e,1.431097,0.1623848
13b,1.432977,0.1623572
13f,1.430536,0.162481
13a,1.437068,0.1622368
13c,1.432369,0.1628687
13d,1.442785,0.1633923
12c,1.609385,0.1702943
12f,1.610562,0.1704411
9a,1.625461,0.1700076
11b,1.680767,0.1700015
11e,1.681794,0.1701418
12b,1.632706,0.1732356
12e,1.6341,0.1733228
11c,1.690726,0.1717354
11f,1.691131,0.1717578
12a,1.66794,0.1733482
12d,1.670802,0.1735235
11a,1.70452,0.1746157
11d,1.706585,0.1748117
3a,1.861808,0.1694304
1a,1.867523,0.1696615
2a,1.868898,0.1703007
5a,1.891649,0.1712315
4c,2.02648,0.1807794
4b,1.981271,0.183062
10a,2.241075,0.1920681
10b,2.241075,0.1920681
10c,2.241075,0.1920681
4a,2.272426,0.1924591
8a,2.208205,0.6697493
6b,11.97154,0.547503
